v1,v2,p,x,y,z
0.79906,-0.85095,-0.40043,0.36448,0.34227,0
1.0486,-0.86753,-0.63775,0.31871,0.38526,0
0.56101,-0.77221,-0.16916,0.40451,0.29389,0
1.2903,-0.81884,-0.87652,0.26791,0.42216,0
0.35296,-0.64207,0.029271,0.43815,0.24088,0
1.5082,-0.70973,-1.0647,0.21289,0.45241,0
1.6887,-0.54869,-1.2225,0.15451,0.47553,0
0.18755,-0.47379,0.17462,0.46489,0.18406,0
1.8246,-0.34808,-1.3486,0.093691,0.49114,0
0.077336,-0.30127,0.26575,0.48429,0.12434,0
1.8932,-0.11911,-1.4207,0.031395,0.49901,0
0.016347,-0.12962,0.31122,0.49606,0.062667,0
1.8991,0.11947,-1.4038,-0.031395,0.49901,0
1.7421,0.56605,-1.2464,-0.15451,0.47553,0
1.8492,0.35276,-1.3698,-0.093691,0.49114,0
0.019337,0.15318,0.30899,0.49606,-0.062667,0
-1.38E-05,0.038925,0.32661,0.5,0,0
1.5795,0.74329,-1.0693,-0.21289,0.45241,0
0.076968,0.29987,0.26621,0.48429,-0.12434,0
1.377,0.87386,-0.85924,-0.26791,0.42216,0
1.1468,0.94872,-0.6216,-0.31871,0.38526,0
0.9064,0.96524,-0.37849,-0.36448,0.34227,0
0.66638,0.91725,-0.1441,-0.40451,0.29389,0
0.44878,0.81637,0.067566,-0.43815,0.24088,0
0.18383,0.46436,0.17609,0.46489,-0.18406,0
0.25939,0.65524,0.24422,-0.46489,0.18406,0
0.34909,0.63506,0.029999,0.43815,-0.24088,0
0.5608,0.77192,-0.16868,0.40451,-0.29389,0
0.11578,0.451,0.38863,-0.48429,0.12434,0
0.80045,0.85243,-0.39786,0.36448,-0.34227,0
0.027434,0.21748,0.47753,-0.49606,0.062667,0
1.0484,0.86737,-0.6357,0.31871,-0.38526,0
1.2901,0.81876,-0.86272,0.26791,-0.42216,0
-2.27E-05,-0.03661,0.48775,-0.5,-1.27E-15,0
0.027018,-0.21404,0.46265,-0.49606,-0.062667,0
1.505,0.7082,-1.0657,0.21289,-0.45241,0
0.11403,-0.44427,0.38057,-0.48429,-0.12434,0
0.25664,-0.64827,0.2422,-0.46489,-0.18406,0
0.44517,-0.80983,0.067061,-0.43815,-0.24088,0
0.66731,-0.91851,-0.14595,-0.40451,-0.29389,0
0.90496,-0.96373,-0.37853,-0.36448,-0.34227,0
1.1454,-0.94754,-0.61655,-0.31871,-0.38526,0
1.3734,-0.87161,-0.85097,-0.26791,-0.42216,0
1.5775,-0.74234,-1.0616,-0.21289,-0.45241,0
1.736,-0.56408,-1.2479,-0.15451,-0.47553,0
1.6872,0.54821,-1.224,0.15451,-0.47553,0
1.8481,-0.35254,-1.3626,-0.093691,-0.49114,0
1.816,0.34642,-1.3347,0.093691,-0.49114,0
1.8987,-0.11946,-1.4455,-0.031395,-0.49901,0
1.8877,0.11878,-1.4332,0.031395,-0.49901,0
